Text,Date
@maz_kloneng @Rustiwaka @kompascom Purbaya Yudhi Sadewa memiliki prestasi di bidang ekonomi termasuk: - Chief Economist Danareksa Research Institute (2005-2013) menyusun analisis ekonomi nasional. - Dirut PT Danareksa Securities (2006-2008) memimpin operasi sekuritas. - Anggota Komite Ekonomi Nasional,Mon Sep 08 23:56:12 +0000 2025
@chandranararya @Hilmi28 Berdasarkan pencarian saya di berbagai sumber tidak ada kasus korupsi atau penyuapan yang melibatkan Purbaya Yudhi Sadewa yang tercatat secara publik. Ia baru saja dilantik sebagai Menteri Keuangan pada 2025. Jika ada info baru saya bisa cek lagi.,Mon Sep 08 23:55:50 +0000 2025
@Rustiwaka @kompascom @grok @grok apa prestasi Purbaya Yudhi Sadewa di bidang ekonomi?,Mon Sep 08 23:54:50 +0000 2025
@Hilmi28 Hai @grok adakah kasus korupsi atau penyuapan yang di lakukan Purbaya Yudhi Sadewa?,Mon Sep 08 23:54:25 +0000 2025
@_memoryusang Ini si bangsat Purbaya Yudhi Sadewa belum tau merasakan kalau giginya kumpul di aspal. Waton nyocot.,Mon Sep 08 23:49:57 +0000 2025
@dahbhujug @sofiesyarief Purbaya Yudhi Sadewa adalah Menteri Keuangan RI baru ditunjuk Presiden Prabowo sejak 8 Sept 2025 gantikan Sri Mulyani. Lahir di Bogor 1964 sarjana Teknik Elektro ITB MSc &amp; PhD Ekonomi dari Purdue Univ AS. Karir: Field Engineer Schlumberger berbagai posisi di Danareksa,Mon Sep 08 23:48:14 +0000 2025
 Purbaya Yudhi Sadewa Akan kami ingat pertumbuhan ekonomi rakyat 6%-7% Dengan menjatuhkan apreasiasi sebagian kecil TUNTUTAN RAKYAT Padahal demo diseluruh negeri menuntut kesejahteraan Baru menjabat Anda buta ! Sepertinya anda ahli ekonomi tapi tak bermoral Pancasila. https://t.co/ZqqX7l2PqO,Mon Sep 08 23:45:52 +0000 2025
@cattycat123409 @txtdrpemerintah Purbaya Yudhi Sadewa adalah Menteri Keuangan baru Indonesia ditunjuk gantiin Sri Mulyani pada 2025. Sebelumnya dia Ketua Dewan Komisioner LPS (Lembaga Penjamin Simpanan) sejak 2021 dan punya pengalaman panjang di keuangan perbankan plus bantu atasi krisis ekonomi pas,Mon Sep 08 23:42:08 +0000 2025
Perkenalkan inilah Menteri Keuangan baru kita Purbaya Yudhi Sadewa Baru mulai menjabat udah bisa dibikin mentality core Sc IG @gerr.media https://t.co/Y4aAHRDCbT,Mon Sep 08 23:41:11 +0000 2025
@liaasister @kemenkeu tlg ya kasih tau ke si bangsat Purbaya Yudhi Sadewa kalau bicara hati² jangan menyakiti rakyat. Itu saja pesannya.,Mon Sep 08 23:38:59 +0000 2025
@Rustiwaka @kompascom Purbaya Yudhi Sadewa lulus S1 Teknik Elektro dari Institut Teknologi Bandung (ITB). Ia kemudian meraih gelar Master dan PhD di bidang Ekonomi dari Purdue University Amerika Serikat.,Mon Sep 08 23:27:41 +0000 2025
Menkeu Purbaya Yudhi Sadewa Statement Pertama nya Terkait IHSG terkesan PONGAH. eehhh disusul anak nya. https://t.co/e8Ld9W6t0h,Mon Sep 08 23:27:05 +0000 2025
Sri Mulyani Digantikan Prabowo Tunjuk Purbaya Yudhi Sadewa Jadi Menteri Keuangan Baru https://t.co/qhNwVj19hB,Mon Sep 08 23:16:39 +0000 2025
@shdftmiwb @perupadata Berdasarkan penelusuran dari berbagai sumber berita terkini tidak ditemukan catatan sejarah korupsi atau tuntutan hukum bagi menteri pengganti yang diumumkan: Purbaya Yudhi Sadewa Mukhtarudin Ferry Juliantono Mochamad Irfan Yusuf dan Anzar Simanjuntak. Beberapa posisi lain,Mon Sep 08 23:15:49 +0000 2025
@panca66 Anak asuh Opung https://t.co/yDv5bpDNtJ,Mon Sep 08 23:06:14 +0000 2025
Sepak Terjang Purbaya Yudhi Sadewa Menkeu Baru Pilihan Prabowo https://t.co/zI2UFhWZlG,Mon Sep 08 23:05:53 +0000 2025
@tanyabiartahu @tempodotco Purbaya Yudhi Sadewa baru dilantik sebagai Menkeu pada 8 Sept 2025 jadi belum ada prestasi spesifik di Kemenkeu. Sebelumnya sebagai Ketua LPS (2020-2025) ia menjaga stabilitas keuangan lindungi simpanan masyarakat &amp; kontribusi di Komite Stabilitas Sistem Keuangan. Cara,Mon Sep 08 22:58:46 +0000 2025
Berdasarkan Keppres Nomor 86P Tahun 2025 ada empat menteri baru yang dilantik: Purbaya Yudhi Sadewa sebagai Menteri Keuangan Mukhtarudin sebagai Menteri Perlindungan Pekerja Migran Indonesia Ferry Juliantono sebagai Menteri Koperasi serta Mochamad Irfan Yusuf sebagai Menteri https://t.co/tUq8NtajMf,Mon Sep 08 22:55:57 +0000 2025
@tanyabiartahu @txtdrpemerintah Tau kok. Itu Purbaya Yudhi Sadewa calon Menkeu baru. Saat ditanya pengalaman fiskal dia jawab Anda tak pernah tahu saya? karena pernah bantu Jokowi atasi krisis pandemi dan jabat di LPS. Pengalamannya panjang di bidang ekonomi.,Mon Sep 08 22:54:33 +0000 2025
@tanyabiartahu @tempodotco Sampai 8 September 2025 belum ada temuan baru soal riwayat korupsi untuk Purbaya Yudhi Sadewa Ferry Juliantono Mukhtarudin Irfan Yusuf atau Dahnil Anzar Simanjuntak berdasarkan pencarian berita terkini. Info bisa berubah jika ada update.,Mon Sep 08 22:48:35 +0000 2025
@tanyabiartahu @franzzhermann Purbaya Yudhi Sadewa adalah ekonom dan insinyur kelahiran Bogor 7 Juli 1964. Latar belakang pendidikan: S1 Teknik Elektro ITB MSc &amp; PhD Ekonomi dari Purdue University AS. Karier: Field Engineer Schlumberger (1989-1994) posisi di Danareksa (2000-2015) Staf Khusus Ekonomi di,Mon Sep 08 22:45:12 +0000 2025
@tanyabiartahu @tempodotco Menteri baru yang dilantik Prabowo pada 8 Sept 2025: Purbaya Yudhi Sadewa (Keuangan) Ferry Juliantono (Koperasi) Mukhtarudin (Perlindungan Pekerja Migran) Irfan Yusuf (Haji &amp; Umrah). Ada juga Dahnil Anzar Simanjuntak sebagai Wamen Haji &amp; Umrah. Berdasarkan sumber berita &amp;,Mon Sep 08 22:44:35 +0000 2025
@faizalassegaf USAI DILANTIK JADI MENKEU LANGSUNG REMEHKAN SUARA RAKYAT: Usai dilantik Menteri Keuangan Purbaya Yudhi Sadewa para wartawan melakukan wawancara. Salah satunya menanyakan soal 17+8 tuntutan rakyat saat aksi unjuk rasa. Tanggapan Purbaya terkesan sangat meremehkan. https://t.co/nLSetgui08,Mon Sep 08 22:44:10 +0000 2025
@tutafale Mungkin Purbaya Yudhi Sadewa Menkeu baru ingin tekankan bahwa pertumbuhan ekonomi 6-7% bisa redakan keresahan sosial dengan ciptakan lapangan kerja sehingga orang fokus bekerja daripada demo. Pernyataannya soal suara sebagian kecil rakyat jadi kontroversial di tengah protes,Mon Sep 08 22:35:20 +0000 2025
Profil Purbaya Yudhi Sadewa Orang Dekat Luhut yang Jabat Menkeu https://t.co/Mrn9clXtUo .,Mon Sep 08 22:23:22 +0000 2025
Ini beritanya. https://t.co/QQqzTPCwA1,Mon Sep 08 22:21:16 +0000 2025
@acapujangga @pandji Ya kutipan itu benar diucapkan oleh Menteri Keuangan Purbaya Yudhi Sadewa hari ini seperti dilaporkan CNN Indonesia dan Tirto. Namun klaim bahwa pertumbuhan ekonomi 6-7% akan otomatis hilangkan demo adalah opini subyektif. Studi menunjukkan pertumbuhan bisa kurangi kerusuhan,Mon Sep 08 22:07:32 +0000 2025
@clayiskoro @Saham_fess Purbaya Yudhi Sadewa menteri keuangan baru eks Ketua LPS (2015-2020) ekonom lulusan teknik. Track record: Fokus stabilitas keuangan &amp; asuransi simpanan tapi kurang pengalaman langsung fiskal. Janji lanjutkan legacy Sri Mulyani target growth 6-8% dorong spending untuk,Mon Sep 08 22:06:34 +0000 2025
@zklulz @heheheiyuU @MuhadklyAcho Video ini berdasarkan rekaman asli dari konferensi pers Menteri Keuangan baru Purbaya Yudhi Sadewa. Namun teks overlay ditambahkan untuk meme humor. Bukan deepfake tapi diedit untuk efek lucu. Sumber resmi seperti KompasTV punya versi tanpa edit.,Mon Sep 08 22:01:03 +0000 2025
Ditarget Naikkan Ekonomi hingga 8 Persen Menkeu Purbaya Yudhi Sadewa: Presiden Cukup Agresif https://t.co/PtK9XVugSd lewat @tribunnews #Menkeu #purbaya #srimulyani #ekonomi,Mon Sep 08 21:35:55 +0000 2025
Profil Purbaya Yudhi Sadewa Menteri Keuangan Pengganti Sri Mulyani https://t.co/aCTGDwmDeV,Mon Sep 08 21:19:23 +0000 2025
Mengganti Sri Mulyani yg diakui oleh World Bank dan IMF dgn Purbaya Yudhi Sadewa sama seperti PSSI mengganti Shin Tae-yong sang mantan pelatih Korsel di Piala Dunia 2018 dgn Patrick Kluivert. Menukar yg sudah berpengalaman dikancah internasional dgn orang yg belum punya.,Mon Sep 08 21:00:29 +0000 2025
@IndoPopBase i think Sri Mulyani Indrawati is 100% Better than Purbaya Yudhi Sadewa,Mon Sep 08 20:29:24 +0000 2025
@msirulhaq @sirulhaq @pakzam @msaid_didu Berdasarkan sumber seperti Kompas Detik dan Tempo hingga 8 September 2025 reshuffle kabinet Prabowo memang melibatkan 5 posisi termasuk ganti Menkeu Sri Mulyani dengan Purbaya Yudhi Sadewa dan bentuk Kemenag Haji baru. Analisis beragam: resmi disebut untuk kuatkan performa,Mon Sep 08 20:04:59 +0000 2025
Klaim Rp. 10.000 saldo pas download apk Shopeepay ada promo serba seribu. Upgrade ke Shopeepay plus log in pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon info freelance job receh zonauang purbaya yudhi sadewa kevin diks ferry sri mulyani https://t.co/RDWxz4yQz4 https://t.co/I7TKHHvMYs,Mon Sep 08 19:57:58 +0000 2025
Bonus 10.000 saldo kalau install apk Shopeepay ada promo serba seribu Upgrade ke Shopeepay plus log in pakai akun shopee &amp; masukkan kode referral FF6JWV5WP diskon 100% info freelance job receh zonauang purbaya yudhi sadewa kevin diks ferry sri mulyani https://t.co/RDWxz4yQz4 https://t.co/UHrh1uNjdg,Mon Sep 08 19:57:25 +0000 2025
Rp. 10.000 saldo dpt pas download apk shopeepay buat war promo serba seribu. Upgrade ke spay plus log in pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon 100% info freelance job receh zonauang purbaya yudhi sadewa kevin diks ferry sri mulyani https://t.co/RDWxz4yQz4 https://t.co/mfVIpxWijL,Mon Sep 08 19:56:36 +0000 2025
@brodeldi @f_stwnn @Saham_fess Reshuffle kabinet 8 Sep 2025 ganti Sri Mulyani sebagai Menkeu dengan Purbaya Yudhi Sadewa. Dampaknya: Pasar saham (IHSG) turun ~0.9% karena ketidakpastian saham bank rontok. Sri Mulyani dikenal stabilisasi ekonomi pasca-COVID &amp; reformasi pajak. Pengganti bisa ubah kebijakan,Mon Sep 08 19:47:25 +0000 2025
hematfest Belanja Di Lazada99 Sale #tokopediapulsafestival aziz wellang bukan tersangka Lebanon Sri Mulyani Ladaku damailah indonesiaku posisi indonesia global Menkeu Purbaya Yudhi Sadewa IHSG Budi Arie Menpora CLOSED FRIEND OR LOVER,Mon Sep 08 19:28:07 +0000 2025
@atdamz @heheheiyuU @MuhadklyAcho Ya video itu tampaknya asli. Itu klip dari pidato Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru membahas target pertumbuhan ekonomi 8% dan respons terhadap tuntutan masyarakat (17+8). Dia baru dilantik hari ini oleh Presiden Prabowo.,Mon Sep 08 19:27:13 +0000 2025
Sri Mulyani diganti dengan Purbaya Yudhi Sadewa sebagai Menteri Keuangan. Selanjutnya Raja Juli. https://t.co/dB5UwmBQ9L,Mon Sep 08 19:16:39 +0000 2025
