\n,dan
ad,ada
adlah,adalah
adlh,adalah
agr,agar
ahir,akhir
Ahir,akhir
aing,saya
aj,saja
aja,saja
ajah,saja
Ajj,saja
ak,saya
akali,cari akal
Akku,saya
akn,akan
aksea,akses
aktifitas,aktivitas
aktip,aktif
aku,saya
aku,saya
akui,mengakui
Akuwh,saya
Akyu,saya
anak2,anak anak
analisa,analisis
and,dan
antar-instansi,antarinstansi
Antar-instansi,antarinstansi
Antri,antre
antri,antre
Anx,Anak
apakh,apakah
apalikasi,aplikasi
apapn,apapun
Apotik,Apotek
apotik,Apotek
aq,saya
atasi,mengatasi
atlit,Atlet
Atlit,Atlet
Atmosfir,Atmosfer
atmosfir,Atmosfer
audah,sudah
awasi,mengawasi
azas,asas
Azas,asas
back,kembali
bagi2,bagi bagi
Bangedh,Banget
bangeet,banget
Baud,Baut
baud,Baut
bberapa,beberapa
bbrp,beberapa
beda2,beda beda
beguna,berguna
bener,benar
ber'arti,berarti
beress,beres
Berfikir,berpikir
berfikir,berpikir
Beud,Banget
Beut,Banget
bg,abang
bgaimana,bagaimana
bgmana,bagaimana
bgt,sangat
bgtu,begitu
bhw,bahwa
Bis,Bus
bis,Bus
bisaaa,bisa
bkn,bukan
blm,belum
bln,bulan
bmana,bagaimana
bndung,bandung
bner,benar
bngt,sangat
bnr,benar
bnyak,banyak
Bokebb,porno
bokingnya,bookingnya
brarti,berarti
brbeda,berbeda
brkt,berangkat
brngkat,berangkat
bro,bung
brp,berapa
bs,bisa
bsa,bisa
bsm,bersama
bts,batas
bwh,bawah
byk,banyak
byr,bayar
C8,Chat
Cabe,Cabai
cabe,Cabai
cepet,cepat
check,cek
chek,cek
Cinderamata,Cenderamata
cinderamata,Cenderamata
Ckeb,Cakep
Ckep,Cakep
Ckepp,Cakep
coped,copet
core,inti
Coz,Karena
cr,cari
Cuekin,Cuxin
curi2,Curi-curi
Cw,Cewek
Cwekz,Cewek
Cwok,Cowok
Cwokz,Cowok
Cz,Karena
d,di
danayanya,dana
dann,dan
dapet,dapat
Daptar,Daftar
daptar,Daftar
dbuka,di buka
Depo,Depot
depo,Depot
Detil,detail
detil,detail
dg,dengan
dgn,dengan
dh,sudah
diaa,dia
Diagnosa,Diagnosis
diagnosa,diagnosis
dicek,diperiksa
diem,diam
Differensial,diferensial
differensial,diferensial
Difinisi,definisi
difinisi,definisi
diknfirmasike,Dikonfirmasi ke
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Dipindah,dipindahkan
dipindah,dipindahkan
diprhatikan,diperhatikan
Disel,Diesel
disel,disel
Disyahkan,disahkan
disyahkan,disahkan
dll,lain-lain
dlm,dalam
dlu,dahulu
dmn,dimana
dn,dan
dobel,double
Dollar,Dolar
dollar,Dolar
donk,dong
dpet,dapat
dpt,dapat
dr,dari
dri,dari
drpd,daripada
drtadi,dari tadi
dy,dia
Eksport,Ekspor
eksport,ekspor
Ekstrim,ekstrem
ekstrim,ekstrem
Ekwivalen,ekuivalen
ekwivalen,ekuivalen
emg,memang
engagememt,engagement
engga,tidak
enggak,tidak
Erobik,aerobik
erobik,aerobik
esei,esai
fans,penggemar
Filem,Film
filem,Film
for,untuk
frekwensi,Frekuensi
Frekwensi,Frekuensi
g,Tidak
Ga,Tidak
ga,tidak
ga,tidak
gada,tidak ada
gak,tidak
gapapa,tidak apa apa
gatau,tidak mengetahui
gbs,tidak bisa
genk,geng
Ghiey,Lagi
Ghiy,Lagi
Gi,Sedang
gimana,bagaimana
gitu,begitu
gk,tidak
gmana,bagaimana
gmn,bagaimana
gpp,tidak masalah
green,hijau
group,grup
gt,begitu
gue,saya
guna,berguna
guys,teman-teman
Gw,saya
haii,hai
Hakekat,Hakikat
hakekat,Hakikat
Hapal,hafal
hapal,hafal
Hembus,embus
hembus,embus
Himbau,Imbau
Hipotesa,Hipotesis
Hirarki,Hierarki
Hisap,Isap
Hozz,Rumah
hr,hari
hrg,harga
hrga,harga
hrs,harus
hrus,harus
htl,hotel
Hufft,Mengeluh
Humz,Rumah
Hutang,Utang
Ihlas,Ikhlas
Ijasah,Ijazah
Ijin,Izin
ikuti,mengikuti
Ilmiawan,Ilmuwan
Imoeth,Imut
Imoetz,Imut
Import,Impor
Inich,Ini
Iniyh,Ini
Insyaf,Insaf
intl,internasional
issue,permasalahan
Isteri,Istri
itung,hitung
Iy,Ya
iy,iya
Ja,Aja
Jadual,Jadwal
Jaman,Zaman
jawaaab,jawab
jawan,jawab
jd,jadi
jdi,jadi
Jenasah,Jenazah
Jendral,Jenderal
jg,juga
jga,juga
jgn,jangan
jk,jika
Kaedah,Kaidah
kaga,tidak
kakagg,Kakak
kalo,kalau
Kaluw,kalau
Kammooh,Kamu
Kamuh,Kamu
Kamuwh,Kamu
Kamyu,Kamu
Kangedh,Kangen
Kangeunnd,Kangen
Karir,Karier
karna,karena
kayak,seperti
kebnyakan,kebanyakan
kecee,kece
kesalahan2,kesalahan
ketjup,kecup
khidupan,kehidupan
Khutbah,Khotbah
Khuzuz,Khusus
king,raja
kjlsn,kejelasan
Klianz,Kalian
klo,kalau
klu,kalau
Klw,Karena
kmarin,kemarin
kmr,kamar
knp,kenapa
komen2,komentar
Komplek,Kompleks
Kondite,Konduite
Konkrit,Konkret
konperensi,Konferesi
Konsepsionil,Konsepsional
Koordinir,Koordinasi
Krang,Kurang
Krent,Keren
Krenz,Keren
krj,kerja
krm,kirim
krn,karena
kt,kata
kta,kata
ktiga,ketiga
ktmu,ketemu
ktnya,katanya
Kwalitas,Kualitas
Kwantitas,Kuantitas
Kwitansi,Kuitansi
laen,berbeda
lbh,lebih
lbih,lebih
Leh,Boleh
lg,Sedang
lgi,Sedang
lgi,lagi
lho,loh
Lo,Kamu
Lobang,Lubang
Loch,Loh
Lochkz,Loh
Lochx,Loh
loe,anda
Lom,Belum
lord,raja
Louph,Cinta
Loupz,Cinta
Love,Cinta
Low,Karena
lsg,langsung
Luchuw,Lucu
Luff,Cinta
Lum,Belum
Luph,Cinta
