Text,Date,CleanSVM,CleanIndoBERTweet
@maz_kloneng @Rustiwaka @kompascom Purbaya Yudhi Sadewa memiliki prestasi di bidang ekonomi termasuk: - Chief Economist Danareksa Research Institute (2005-2013) menyusun analisis ekonomi nasional. - Dirut PT Danareksa Securities (2006-2008) memimpin operasi sekuritas. - Anggota Komite Ekonomi Nasional,Mon Sep 08 23:56:12 +0000 2025,purbaya yudhi sadewa milik prestasi bidang ekonomi masuk chief economist danareksa research institute susun analisis ekonomi nasional dirut pt danareksa securities pimpin operasi sekuritas anggota komite ekonomi nasional,purbaya yudhi sadewa memiliki prestasi di bidang ekonomi termasuk: - chief economist danareksa research institute (2005-2013) menyusun analisis ekonomi nasional. - dirut pt danareksa securities (2006-2008) memimpin operasi sekuritas. - anggota komite ekonomi nasional
@chandranararya @Hilmi28 Berdasarkan pencarian saya di berbagai sumber tidak ada kasus korupsi atau penyuapan yang melibatkan Purbaya Yudhi Sadewa yang tercatat secara publik. Ia baru saja dilantik sebagai Menteri Keuangan pada 2025. Jika ada info baru saya bisa cek lagi.,Mon Sep 08 23:55:50 +0000 2025,dasar cari bagai sumber kasus korupsi suap libat purbaya yudhi sadewa catat publik baru lantik menteri uang info baru cek,berdasarkan pencarian saya di berbagai sumber tidak ada kasus korupsi atau penyuapan yang melibatkan purbaya yudhi sadewa yang tercatat secara publik. ia baru saja dilantik sebagai menteri keuangan pada 2025. jika ada info baru saya bisa cek lagi.
@Rustiwaka @kompascom @grok @grok apa prestasi Purbaya Yudhi Sadewa di bidang ekonomi?,Mon Sep 08 23:54:50 +0000 2025,apa prestasi purbaya yudhi sadewa bidang ekonomi,apa prestasi purbaya yudhi sadewa di bidang ekonomi?
@Hilmi28 Hai @grok adakah kasus korupsi atau penyuapan yang di lakukan Purbaya Yudhi Sadewa?,Mon Sep 08 23:54:25 +0000 2025,hai ada kasus korupsi suap laku purbaya yudhi sadewa,hai adakah kasus korupsi atau penyuapan yang di lakukan purbaya yudhi sadewa?
@_memoryusang Ini si bangsat Purbaya Yudhi Sadewa belum tau merasakan kalau giginya kumpul di aspal. Waton nyocot.,Mon Sep 08 23:49:57 +0000 2025,si bangsat purbaya yudhi sadewa tahu rasa kalau gigi kumpul aspal waton nyocot,ini si bangsat purbaya yudhi sadewa belum tahu merasakan kalau giginya kumpul di aspal. waton nyocot.
@dahbhujug @sofiesyarief Purbaya Yudhi Sadewa adalah Menteri Keuangan RI baru ditunjuk Presiden Prabowo sejak 8 Sept 2025 gantikan Sri Mulyani. Lahir di Bogor 1964 sarjana Teknik Elektro ITB MSc &amp; PhD Ekonomi dari Purdue Univ AS. Karir: Field Engineer Schlumberger berbagai posisi di Danareksa,Mon Sep 08 23:48:14 +0000 2025,purbaya yudhi sadewa menteri uang ri baru tunjuk presiden prabowo sejak september ganti sri mulyani lahir bogor sarjana teknik elektro itb msc amp phd ekonomi purdue univ as karir field engineer schlumberger bagai posisi danareksa,purbaya yudhi sadewa adalah menteri keuangan ri baru ditunjuk presiden prabowo sejak 8 september 2025 gantikan sri mulyani. lahir di bogor 1964 sarjana teknik elektro itb msc &amp; phd ekonomi dari purdue univ as. karir: field engineer schlumberger berbagai posisi di danareksa
 Purbaya Yudhi Sadewa Akan kami ingat pertumbuhan ekonomi rakyat 6%-7% Dengan menjatuhkan apreasiasi sebagian kecil TUNTUTAN RAKYAT Padahal demo diseluruh negeri menuntut kesejahteraan Baru menjabat Anda buta ! Sepertinya anda ahli ekonomi tapi tak bermoral Pancasila. https://t.co/ZqqX7l2PqO,Mon Sep 08 23:45:52 +0000 2025,purbaya yudhi sadewa ingat tumbuh ekonomi rakyat jatuh apreasiasi bagi kecil tuntut rakyat padahal demo seluruh negeri tuntut sejahtera baru jabat buta seperti ahli ekonomi tak moral pancasila,purbaya yudhi sadewa akan kami ingat pertumbuhan ekonomi rakyat 6%-7% dengan menjatuhkan apreasiasi sebagian kecil tuntutan rakyat padahal demo diseluruh negeri menuntut kesejahteraan baru menjabat anda buta ! sepertinya anda ahli ekonomi tetapi tak bermoral pancasila.
@cattycat123409 @txtdrpemerintah Purbaya Yudhi Sadewa adalah Menteri Keuangan baru Indonesia ditunjuk gantiin Sri Mulyani pada 2025. Sebelumnya dia Ketua Dewan Komisioner LPS (Lembaga Penjamin Simpanan) sejak 2021 dan punya pengalaman panjang di keuangan perbankan plus bantu atasi krisis ekonomi pas,Mon Sep 08 23:42:08 +0000 2025,purbaya yudhi sadewa menteri uang baru indonesia tunjuk gantiin sri mulyani belum ketua dewan komisioner lps lembaga jamin simpan sejak punya alam panjang uang perban plus bantu atas krisis ekonomi pas,purbaya yudhi sadewa adalah menteri keuangan baru indonesia ditunjuk gantiin sri mulyani pada 2025. sebelumnya dia ketua dewan komisioner lps (lembaga penjamin simpanan) sejak 2021 dan punya pengalaman panjang di keuangan perbankan plus bantu mengatasi krisis ekonomi pas
Perkenalkan inilah Menteri Keuangan baru kita Purbaya Yudhi Sadewa Baru mulai menjabat udah bisa dibikin mentality core Sc IG @gerr.media https://t.co/Y4aAHRDCbT,Mon Sep 08 23:41:11 +0000 2025,kenal ini menteri uang baru purbaya yudhi sadewa baru mulai jabat bikin mentality inti sc ig media,perkenalkan inilah menteri keuangan baru kita purbaya yudhi sadewa baru mulai menjabat sudah bisa dibikin mentality inti sc ig .media
@liaasister @kemenkeu tlg ya kasih tau ke si bangsat Purbaya Yudhi Sadewa kalau bicara hati² jangan menyakiti rakyat. Itu saja pesannya.,Mon Sep 08 23:38:59 +0000 2025,kasih tahu si bangsat purbaya yudhi sadewa kalau bicara hati jangan sakit rakyat pesan,tolong ya kasih tahu ke si bangsat purbaya yudhi sadewa kalau bicara hati² jangan menyakiti rakyat. itu saja pesannya.
@Rustiwaka @kompascom Purbaya Yudhi Sadewa lulus S1 Teknik Elektro dari Institut Teknologi Bandung (ITB). Ia kemudian meraih gelar Master dan PhD di bidang Ekonomi dari Purdue University Amerika Serikat.,Mon Sep 08 23:27:41 +0000 2025,purbaya yudhi sadewa lulus s teknik elektro institut teknologi bandung itb kemudian raih gelar master phd bidang ekonomi purdue university amerika serikat,purbaya yudhi sadewa lulus s1 teknik elektro dari institut teknologi bandung (itb). ia kemudian meraih gelar master dan phd di bidang ekonomi dari purdue university amerika serikat.
Menkeu Purbaya Yudhi Sadewa Statement Pertama nya Terkait IHSG terkesan PONGAH. eehhh disusul anak nya. https://t.co/e8Ld9W6t0h,Mon Sep 08 23:27:05 +0000 2025,menkeu purbaya yudhi sadewa statement pertama nya kait ihsg kes pongah eehhh susul anak nya,menkeu purbaya yudhi sadewa statement pertama nya terkait ihsg terkesan pongah. eehhh disusul anak nya.
Sri Mulyani Digantikan Prabowo Tunjuk Purbaya Yudhi Sadewa Jadi Menteri Keuangan Baru https://t.co/qhNwVj19hB,Mon Sep 08 23:16:39 +0000 2025,sri mulyani ganti prabowo tunjuk purbaya yudhi sadewa jadi menteri uang baru,sri mulyani digantikan prabowo tunjuk purbaya yudhi sadewa jadi menteri keuangan baru
@shdftmiwb @perupadata Berdasarkan penelusuran dari berbagai sumber berita terkini tidak ditemukan catatan sejarah korupsi atau tuntutan hukum bagi menteri pengganti yang diumumkan: Purbaya Yudhi Sadewa Mukhtarudin Ferry Juliantono Mochamad Irfan Yusuf dan Anzar Simanjuntak. Beberapa posisi lain,Mon Sep 08 23:15:49 +0000 2025,dasar telusur bagai sumber berita kini temu catat sejarah korupsi tuntut hukum menteri ganti umum purbaya yudhi sadewa mukhtarudin ferry juliantono mochamad irfan yusuf anzar simanjuntak beberapa posisi,berdasarkan penelusuran dari berbagai sumber berita terkini tidak ditemukan catatan sejarah korupsi atau tuntutan hukum bagi menteri pengganti yang diumumkan: purbaya yudhi sadewa mukhtarudin ferry juliantono mochamad irfan yusuf dan anzar simanjuntak. beberapa posisi lain
Sepak Terjang Purbaya Yudhi Sadewa Menkeu Baru Pilihan Prabowo https://t.co/zI2UFhWZlG,Mon Sep 08 23:05:53 +0000 2025,sepak terjang purbaya yudhi sadewa menkeu baru pilih prabowo,sepak terjang purbaya yudhi sadewa menkeu baru pilihan prabowo
@tanyabiartahu @tempodotco Purbaya Yudhi Sadewa baru dilantik sebagai Menkeu pada 8 Sept 2025 jadi belum ada prestasi spesifik di Kemenkeu. Sebelumnya sebagai Ketua LPS (2020-2025) ia menjaga stabilitas keuangan lindungi simpanan masyarakat &amp; kontribusi di Komite Stabilitas Sistem Keuangan. Cara,Mon Sep 08 22:58:46 +0000 2025,purbaya yudhi sadewa baru lantik menkeu september jadi prestasi spesifik kemenkeu belum ketua lps jaga stabilitas uang lindung simpan masyarakat amp kontribusi komite stabilitas sistem uang cara,purbaya yudhi sadewa baru dilantik sebagai menkeu pada 8 september 2025 jadi belum ada prestasi spesifik di kemenkeu. sebelumnya sebagai ketua lps (2020-2025) ia menjaga stabilitas keuangan lindungi simpanan masyarakat &amp; kontribusi di komite stabilitas sistem keuangan. cara
Berdasarkan Keppres Nomor 86P Tahun 2025 ada empat menteri baru yang dilantik: Purbaya Yudhi Sadewa sebagai Menteri Keuangan Mukhtarudin sebagai Menteri Perlindungan Pekerja Migran Indonesia Ferry Juliantono sebagai Menteri Koperasi serta Mochamad Irfan Yusuf sebagai Menteri https://t.co/tUq8NtajMf,Mon Sep 08 22:55:57 +0000 2025,dasar keppres nomor p tahun empat menteri baru lantik purbaya yudhi sadewa menteri uang mukhtarudin menteri lindung kerja migran indonesia ferry juliantono menteri koperasi mochamad irfan yusuf menteri,berdasarkan keppres nomor 86p tahun 2025 ada empat menteri baru yang dilantik: purbaya yudhi sadewa sebagai menteri keuangan mukhtarudin sebagai menteri perlindungan pekerja migran indonesia ferry juliantono sebagai menteri koperasi serta mochamad irfan yusuf sebagai menteri
@tanyabiartahu @txtdrpemerintah Tau kok. Itu Purbaya Yudhi Sadewa calon Menkeu baru. Saat ditanya pengalaman fiskal dia jawab Anda tak pernah tahu saya? karena pernah bantu Jokowi atasi krisis pandemi dan jabat di LPS. Pengalamannya panjang di bidang ekonomi.,Mon Sep 08 22:54:33 +0000 2025,tahu kok purbaya yudhi sadewa calon menkeu baru tanya alam fiskal jawab tak pernah tahu pernah bantu jokowi atas krisis pandemi jabat lps alam panjang bidang ekonomi,tahu kok. itu purbaya yudhi sadewa calon menkeu baru. saat ditanya pengalaman fiskal dia jawab anda tak pernah tahu saya? karena pernah bantu jokowi mengatasi krisis pandemi dan jabat di lps. pengalamannya panjang di bidang ekonomi.
@tanyabiartahu @tempodotco Sampai 8 September 2025 belum ada temuan baru soal riwayat korupsi untuk Purbaya Yudhi Sadewa Ferry Juliantono Mukhtarudin Irfan Yusuf atau Dahnil Anzar Simanjuntak berdasarkan pencarian berita terkini. Info bisa berubah jika ada update.,Mon Sep 08 22:48:35 +0000 2025,september temu baru soal riwayat korupsi purbaya yudhi sadewa ferry juliantono mukhtarudin irfan yusuf dahnil anzar simanjuntak dasar cari berita kini info ubah update,sampai 8 september 2025 belum ada temuan baru soal riwayat korupsi untuk purbaya yudhi sadewa ferry juliantono mukhtarudin irfan yusuf atau dahnil anzar simanjuntak berdasarkan pencarian berita terkini. info bisa berubah jika ada update.
@tanyabiartahu @franzzhermann Purbaya Yudhi Sadewa adalah ekonom dan insinyur kelahiran Bogor 7 Juli 1964. Latar belakang pendidikan: S1 Teknik Elektro ITB MSc &amp; PhD Ekonomi dari Purdue University AS. Karier: Field Engineer Schlumberger (1989-1994) posisi di Danareksa (2000-2015) Staf Khusus Ekonomi di,Mon Sep 08 22:45:12 +0000 2025,purbaya yudhi sadewa ekonom insinyur lahir bogor juli latar belakang didik s teknik elektro itb msc amp phd ekonomi purdue university as karier field engineer schlumberger posisi danareksa staf khusus ekonomi,purbaya yudhi sadewa adalah ekonom dan insinyur kelahiran bogor 7 juli 1964. latar belakang pendidikan: s1 teknik elektro itb msc &amp; phd ekonomi dari purdue university as. karier: field engineer schlumberger (1989-1994) posisi di danareksa (2000-2015) staf khusus ekonomi di
@tanyabiartahu @tempodotco Menteri baru yang dilantik Prabowo pada 8 Sept 2025: Purbaya Yudhi Sadewa (Keuangan) Ferry Juliantono (Koperasi) Mukhtarudin (Perlindungan Pekerja Migran) Irfan Yusuf (Haji &amp; Umrah). Ada juga Dahnil Anzar Simanjuntak sebagai Wamen Haji &amp; Umrah. Berdasarkan sumber berita &amp;,Mon Sep 08 22:44:35 +0000 2025,menteri baru lantik prabowo september purbaya yudhi sadewa uang ferry juliantono koperasi mukhtarudin lindung kerja migran irfan yusuf haji amp umrah dahnil anzar simanjuntak wamen haji amp umrah dasar sumber berita amp,menteri baru yang dilantik prabowo pada 8 september 2025: purbaya yudhi sadewa (keuangan) ferry juliantono (koperasi) mukhtarudin (perlindungan pekerja migran) irfan yusuf (haji &amp; umrah). ada juga dahnil anzar simanjuntak sebagai wamen haji &amp; umrah. berdasarkan sumber berita &amp;
@faizalassegaf USAI DILANTIK JADI MENKEU LANGSUNG REMEHKAN SUARA RAKYAT: Usai dilantik Menteri Keuangan Purbaya Yudhi Sadewa para wartawan melakukan wawancara. Salah satunya menanyakan soal 17+8 tuntutan rakyat saat aksi unjuk rasa. Tanggapan Purbaya terkesan sangat meremehkan. https://t.co/nLSetgui08,Mon Sep 08 22:44:10 +0000 2025,usai lantik jadi menkeu langsung remeh suara rakyat usai lantik menteri uang purbaya yudhi sadewa wartawan laku wawancara salah satu tanya soal tuntut rakyat aksi unjuk rasa tanggap purbaya kes sangat remeh,usai dilantik jadi menkeu langsung remehkan suara rakyat: usai dilantik menteri keuangan purbaya yudhi sadewa para wartawan melakukan wawancara. salah satunya menanyakan soal 17+8 tuntutan rakyat saat aksi unjuk rasa. tanggapan purbaya terkesan sangat meremehkan.
@tutafale Mungkin Purbaya Yudhi Sadewa Menkeu baru ingin tekankan bahwa pertumbuhan ekonomi 6-7% bisa redakan keresahan sosial dengan ciptakan lapangan kerja sehingga orang fokus bekerja daripada demo. Pernyataannya soal suara sebagian kecil rakyat jadi kontroversial di tengah protes,Mon Sep 08 22:35:20 +0000 2025,mungkin purbaya yudhi sadewa menkeu baru tekan tumbuh ekonomi reda resah sosial cipta lapang kerja orang fokus kerja demo nyata soal suara bagi kecil rakyat jadi kontroversial tengah protes,mungkin purbaya yudhi sadewa menkeu baru ingin tekankan bahwa pertumbuhan ekonomi 6-7% bisa redakan keresahan sosial dengan ciptakan lapangan kerja sehingga orang fokus bekerja daripada demo. pernyataannya soal suara sebagian kecil rakyat jadi kontroversial di tengah protes
Profil Purbaya Yudhi Sadewa Orang Dekat Luhut yang Jabat Menkeu https://t.co/Mrn9clXtUo .,Mon Sep 08 22:23:22 +0000 2025,profil purbaya yudhi sadewa orang dekat luhut jabat menkeu,profil purbaya yudhi sadewa orang dekat luhut yang jabat menkeu .
