text,date,CleanSVM,CleanIndoBERTweet,Label
@wibisonoys @democrazymedia Sri Mulyani memang diganti oleh Purbaya Yudhi Sadewa dalam reshuffle kabinet Prabowo kemarin 8 Sept 2025. Beberapa analis khawatir ini bisa picu gejolak rupiah dan fiskal tapi ada juga yang lihat sebagai langkah reformasi. Soal LBP dan itu tampaknya rujuk ke dinamika politik,Mon Sep 08 23:57:39 +0000 2025,sri mulyani memang ganti purbaya yudhi sadewa reshuffle kabinet prabowo kemarin sept beberapa analis khawatir picu gejolak rupiah fiskal lihat langkah reformasi soal lbp tampak rujuk dinamika politik,sri mulyani memang diganti oleh purbaya yudhi sadewa dalam reshuffle kabinet prabowo kemarin 8 sept 2025. beberapa analis khawatir ini bisa picu gejolak rupiah dan fiskal tetapi ada juga yang lihat sebagai langkah reformasi. soal lbp dan itu tampaknya rujuk ke dinamika politik,2.0
 Purbaya Yudhi Sadewa Akan kami ingat pertumbuhan ekonomi rakyat 6%-7% Dengan menjatuhkan apreasiasi sebagian kecil TUNTUTAN RAKYAT Padahal demo diseluruh negeri menuntut kesejahteraan Baru menjabat Anda buta ! Sepertinya anda ahli ekonomi tapi tak bermoral Pancasila. https://t.co/ZqqX7l2PqO,Mon Sep 08 23:45:52 +0000 2025,purbaya yudhi sadewa ingat tumbuh ekonomi rakyat jatuh apreasiasi bagi kecil tuntut rakyat padahal demo seluruh negeri tuntut sejahtera baru jabat buta seperti ahli ekonomi tak moral pancasila,purbaya yudhi sadewa akan kami ingat pertumbuhan ekonomi rakyat 6%-7% dengan menjatuhkan apreasiasi sebagian kecil tuntutan rakyat padahal demo diseluruh negeri menuntut kesejahteraan baru menjabat anda buta ! sepertinya anda ahli ekonomi tetapi tak bermoral pancasila.,1.0
@cattycat123409 @txtdrpemerintah Purbaya Yudhi Sadewa adalah Menteri Keuangan baru Indonesia ditunjuk gantiin Sri Mulyani pada 2025. Sebelumnya dia Ketua Dewan Komisioner LPS (Lembaga Penjamin Simpanan) sejak 2021 dan punya pengalaman panjang di keuangan perbankan plus bantu atasi krisis ekonomi pas,Mon Sep 08 23:42:08 +0000 2025,purbaya yudhi sadewa menteri uang baru indonesia tunjuk gantiin sri mulyani belum ketua dewan komisioner lps lembaga jamin simpan sejak punya alam panjang uang perban plus bantu atas krisis ekonomi pas,purbaya yudhi sadewa adalah menteri keuangan baru indonesia ditunjuk gantiin sri mulyani pada 2025. sebelumnya dia ketua dewan komisioner lps (lembaga penjamin simpanan) sejak 2021 dan punya pengalaman panjang di keuangan perbankan plus bantu atasi krisis ekonomi pas,2.0
@tanyabiartahu @tempodotco Purbaya Yudhi Sadewa baru dilantik sebagai Menkeu pada 8 Sept 2025 jadi belum ada prestasi spesifik di Kemenkeu. Sebelumnya sebagai Ketua LPS (2020-2025) ia menjaga stabilitas keuangan lindungi simpanan masyarakat &amp; kontribusi di Komite Stabilitas Sistem Keuangan. Cara,Mon Sep 08 22:58:46 +0000 2025,purbaya yudhi sadewa baru lantik menkeu sept jadi prestasi spesifik kemenkeu belum ketua lps jaga stabilitas uang lindung simpan masyarakat amp kontribusi komite stabilitas sistem uang cara,purbaya yudhi sadewa baru dilantik sebagai menkeu pada 8 sept 2025 jadi belum ada prestasi spesifik di kemenkeu. sebelumnya sebagai ketua lps (2020-2025) ia menjaga stabilitas keuangan lindungi simpanan masyarakat &amp; kontribusi di komite stabilitas sistem keuangan. cara,1.0
@tanyabiartahu @txtdrpemerintah Tau kok. Itu Purbaya Yudhi Sadewa calon Menkeu baru. Saat ditanya pengalaman fiskal dia jawab Anda tak pernah tahu saya? karena pernah bantu Jokowi atasi krisis pandemi dan jabat di LPS. Pengalamannya panjang di bidang ekonomi.,Mon Sep 08 22:54:33 +0000 2025,tahu kok purbaya yudhi sadewa calon menkeu baru tanya alam fiskal jawab tak pernah tahu pernah bantu jokowi atas krisis pandemi jabat lps alam panjang bidang ekonomi,tahu kok. itu purbaya yudhi sadewa calon menkeu baru. saat ditanya pengalaman fiskal dia jawab anda tak pernah tahu saya? karena pernah bantu jokowi atasi krisis pandemi dan jabat di lps. pengalamannya panjang di bidang ekonomi.,2.0
@faizalassegaf USAI DILANTIK JADI MENKEU LANGSUNG REMEHKAN SUARA RAKYAT: Usai dilantik Menteri Keuangan Purbaya Yudhi Sadewa para wartawan melakukan wawancara. Salah satunya menanyakan soal 17+8 tuntutan rakyat saat aksi unjuk rasa. Tanggapan Purbaya terkesan sangat meremehkan. https://t.co/nLSetgui08,Mon Sep 08 22:44:10 +0000 2025,usai lantik jadi menkeu langsung remeh suara rakyat usai lantik menteri uang purbaya yudhi sadewa wartawan laku wawancara salah satu tanya soal tuntut rakyat aksi unjuk rasa tanggap purbaya kes sangat remeh,usai dilantik jadi menkeu langsung remehkan suara rakyat: usai dilantik menteri keuangan purbaya yudhi sadewa para wartawan melakukan wawancara. salah satunya menanyakan soal 17+8 tuntutan rakyat saat aksi unjuk rasa. tanggapan purbaya terkesan sangat meremehkan.,2.0
@tutafale Mungkin Purbaya Yudhi Sadewa Menkeu baru ingin tekankan bahwa pertumbuhan ekonomi 6-7% bisa redakan keresahan sosial dengan ciptakan lapangan kerja sehingga orang fokus bekerja daripada demo. Pernyataannya soal suara sebagian kecil rakyat jadi kontroversial di tengah protes,Mon Sep 08 22:35:20 +0000 2025,mungkin purbaya yudhi sadewa menkeu baru tekan tumbuh ekonomi reda resah sosial cipta lapang kerja orang fokus kerja demo nyata soal suara bagi kecil rakyat jadi kontroversial tengah protes,mungkin purbaya yudhi sadewa menkeu baru ingin tekankan bahwa pertumbuhan ekonomi 6-7% bisa redakan keresahan sosial dengan ciptakan lapangan kerja sehingga orang fokus bekerja daripada demo. pernyataannya soal suara sebagian kecil rakyat jadi kontroversial di tengah protes,1.0
@acapujangga @pandji Ya kutipan itu benar diucapkan oleh Menteri Keuangan Purbaya Yudhi Sadewa hari ini seperti dilaporkan CNN Indonesia dan Tirto. Namun klaim bahwa pertumbuhan ekonomi 6-7% akan otomatis hilangkan demo adalah opini subyektif. Studi menunjukkan pertumbuhan bisa kurangi kerusuhan,Mon Sep 08 22:07:32 +0000 2025,kutip benar ucap menteri uang purbaya yudhi sadewa hari lapor cnn indonesia tirto klaim tumbuh ekonomi otomatis hilang demo opini subyektif studi tunjuk tumbuh kurang rusuh,ya kutipan itu benar diucapkan oleh menteri keuangan purbaya yudhi sadewa hari ini seperti dilaporkan cnn indonesia dan tirto. namun klaim bahwa pertumbuhan ekonomi 6-7% akan otomatis hilangkan demo adalah opini subyektif. studi menunjukkan pertumbuhan bisa kurangi kerusuhan,1.0
@clayiskoro @Saham_fess Purbaya Yudhi Sadewa menteri keuangan baru eks Ketua LPS (2015-2020) ekonom lulusan teknik. Track record: Fokus stabilitas keuangan &amp; asuransi simpanan tapi kurang pengalaman langsung fiskal. Janji lanjutkan legacy Sri Mulyani target growth 6-8% dorong spending untuk,Mon Sep 08 22:06:34 +0000 2025,purbaya yudhi sadewa menteri uang baru eks ketua lps ekonom lulus teknik track record fokus stabilitas uang amp asuransi simpan kurang alam langsung fiskal janji lanjut legacy sri mulyani target growth dorong spending,purbaya yudhi sadewa menteri keuangan baru eks ketua lps (2015-2020) ekonom lulusan teknik. track record: fokus stabilitas keuangan &amp; asuransi simpanan tetapi kurang pengalaman langsung fiskal. janji lanjutkan legacy sri mulyani target growth 6-8% dorong spending untuk,1.0
Mengganti Sri Mulyani yg diakui oleh World Bank dan IMF dgn Purbaya Yudhi Sadewa sama seperti PSSI mengganti Shin Tae-yong sang mantan pelatih Korsel di Piala Dunia 2018 dgn Patrick Kluivert. Menukar yg sudah berpengalaman dikancah internasional dgn orang yg belum punya.,Mon Sep 08 21:00:29 +0000 2025,ganti sri mulyani aku world bank imf dgn purbaya yudhi sadewa sama pssi ganti shin taeyong sang mantan latih korsel piala dunia dgn patrick kluivert tukar alam kancah internasional dgn orang punya,mengganti sri mulyani yang diakui oleh world bank dan imf dgn purbaya yudhi sadewa sama seperti pssi mengganti shin tae-yong sang mantan pelatih korsel di piala dunia 2018 dgn patrick kluivert. menukar yang sudah berpengalaman dikancah internasional dgn orang yang belum punya.,1.0
@brodeldi @f_stwnn @Saham_fess Reshuffle kabinet 8 Sep 2025 ganti Sri Mulyani sebagai Menkeu dengan Purbaya Yudhi Sadewa. Dampaknya: Pasar saham (IHSG) turun ~0.9% karena ketidakpastian saham bank rontok. Sri Mulyani dikenal stabilisasi ekonomi pasca-COVID &amp; reformasi pajak. Pengganti bisa ubah kebijakan,Mon Sep 08 19:47:25 +0000 2025,reshuffle kabinet sep ganti sri mulyani menkeu purbaya yudhi sadewa dampak pasar saham ihsg turun ketidakpastian saham bank rontok sri mulyani kenal stabilisasi ekonomi pascacovid amp reformasi pajak ganti ubah bijak,reshuffle kabinet 8 sep 2025 ganti sri mulyani sebagai menkeu dengan purbaya yudhi sadewa. dampaknya: pasar saham (ihsg) turun ~0.9% karena ketidakpastian saham bank rontok. sri mulyani dikenal stabilisasi ekonomi pasca-covid &amp; reformasi pajak. pengganti bisa ubah kebijakan,1.0
@atdamz @heheheiyuU @MuhadklyAcho Ya video itu tampaknya asli. Itu klip dari pidato Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru membahas target pertumbuhan ekonomi 8% dan respons terhadap tuntutan masyarakat (17+8). Dia baru dilantik hari ini oleh Presiden Prabowo.,Mon Sep 08 19:27:13 +0000 2025,video tampak asli klip pidato purbaya yudhi sadewa menteri uang baru bahas target tumbuh ekonomi respons tuntut masyarakat baru lantik hari presiden prabowo,ya video itu tampaknya asli. itu klip dari pidato purbaya yudhi sadewa sebagai menteri keuangan baru membahas target pertumbuhan ekonomi 8% dan respons terhadap tuntutan masyarakat (17+8). dia baru dilantik hari ini oleh presiden prabowo.,1.0
@mahasantuy @pandji Setelah penggantian Sri Mulyani oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan prediksi berdasarkan analisis sumber beragam: potensi pertumbuhan ekonomi 6-8% dalam 2-3 tahun jika kebijakan stimulus berhasil tapi ada risiko volatilitas pasar jangka pendek seperti penurunan,Mon Sep 08 19:09:44 +0000 2025,ganti sri mulyani purbaya yudhi sadewa menteri uang prediksi dasar analisis sumber agam potensi tumbuh ekonomi tahun bijak stimulus hasil risiko volatilitas pasar jangka pendek turun,setelah penggantian sri mulyani oleh purbaya yudhi sadewa sebagai menteri keuangan prediksi berdasarkan analisis sumber beragam: potensi pertumbuhan ekonomi 6-8% dalam 2-3 tahun jika kebijakan stimulus berhasil tetapi ada risiko volatilitas pasar jangka pendek seperti penurunan,1.0
@afatsal @txtdrpemerintah Dia adalah Purbaya Yudhi Sadewa Menteri Keuangan baru di kabinet Prabowo. Sebelumnya ketua LPS dia punya pengalaman fiskal sejak 2000. Responsnya itu jadi meme karena terdengar percaya diri.,Mon Sep 08 18:45:56 +0000 2025,purbaya yudhi sadewa menteri uang baru kabinet prabowo belum ketua lps punya alam fiskal sejak respons jadi meme dengar percaya diri,dia adalah purbaya yudhi sadewa menteri keuangan baru di kabinet prabowo. sebelumnya ketua lps dia punya pengalaman fiskal sejak 2000. responsnya itu jadi meme karena terdengar percaya diri.,1.0
Purbaya Yudhi Sadewa Menkeu Baru Lulusan ITB &amp; Purdue University eks Ketua LPS yang sukses menjaga 99 9% tabungan rakyat tetap aman. Kini melanjutkan warisan kebijakan fiskal Sri Mulyani dengan pendekatan pragmatis. Optimis dorong pertumbuhan ekonomi lewat efektivitas anggaran,Mon Sep 08 18:02:15 +0000 2025,purbaya yudhi sadewa menkeu baru lulus itb amp purdue university eks ketua lps sukses jaga tabung rakyat tetap aman kini lanjut waris bijak fiskal sri mulyani dekat pragmatis optimis dorong tumbuh ekonomi lewat efektivitas anggar,purbaya yudhi sadewa menkeu baru lulusan itb &amp; purdue university eks ketua lps yang sukses menjaga 99 9% tabungan rakyat tetap aman. kini melanjutkan warisan kebijakan fiskal sri mulyani dengan pendekatan pragmatis. optimis dorong pertumbuhan ekonomi lewat efektivitas anggaran,1.0
@Shella_Chla Sri Mulyani diganti oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan dalam reshuffle kabinet Presiden Prabowo pada 8 September 2025. Alasan resminya untuk menstabilkan ekonomi pasca-protes tapi detailnya bervariasi antar sumber.,Mon Sep 08 17:22:53 +0000 2025,sri mulyani ganti purbaya yudhi sadewa menteri uang reshuffle kabinet presiden prabowo september alas resmi stabil ekonomi pascaprotes detail variasi antar sumber,sri mulyani diganti oleh purbaya yudhi sadewa sebagai menteri keuangan dalam reshuffle kabinet presiden prabowo pada 8 september 2025. alasan resminya untuk menstabilkan ekonomi pasca-protes tetapi detailnya bervariasi antar sumber.,1.0
@Shella_Chla @MuhadklyAcho Sri Mulyani diganti oleh Purbaya Yudhi Sadewa dalam reshuffle kabinet Presiden Prabowo pada 8 September 2025 setelah protes mematikan. Alasan resmi termasuk menanggapi tuntutan publik dan menstabilkan ekonomi meski beberapa analis khawatir hal ini bisa picu ketidakstabilan,Mon Sep 08 17:15:03 +0000 2025,sri mulyani ganti purbaya yudhi sadewa reshuffle kabinet presiden prabowo september protes mati alas resmi masuk tanggap tuntut publik stabil ekonomi meski beberapa analis khawatir picu ketidakstabilan,sri mulyani diganti oleh purbaya yudhi sadewa dalam reshuffle kabinet presiden prabowo pada 8 september 2025 setelah protes mematikan. alasan resmi termasuk menanggapi tuntutan publik dan menstabilkan ekonomi meski beberapa analis khawatir hal ini bisa picu ketidakstabilan,1.0
Purbaya Yudhi Sadewa emang salah karena ignorant dan nyepelein benda yang dia tau penting buat temen2nya dan publik layak diomelin biar sadar dan ngga diulangin lagi tapi kalau dia dibilang culas ngegocek ngejebak orang dll ya pasti gua belain juga that's not true,Mon Sep 08 17:11:46 +0000 2025,purbaya yudhi sadewa emang salah ignorant nyepelein benda tahu penting buat temennya publik layak diomelin biar sadar diulangin kalau bilang culas ngegocek ngejebak orang gua bain thats not true,purbaya yudhi sadewa emang salah karena ignorant dan nyepelein benda yang dia tahu penting buat temen2nya dan publik layak diomelin biar sadar dan tidak diulangin lagi tetapi kalau dia dibilang culas ngegocek ngejebak orang dll ya pasti gua belain juga that's not true,1.0
Baru sehari doang Purbaya Yudhi Sadewa dah Blunder bikin kesel orang. Gak tau siapa yg rekomendasikan ni orang... gak bapak gak anak kemlinthi gayane. Surem. https://t.co/RJlEqSVHxq,Tue Sep 09 14:38:00 +0000 2025,baru hari doang purbaya yudhi sadewa dah blunder bikin kesel orang tahu siapa rekomendasi ni orang bapak anak kemlinthi gayane surem,baru sehari doang purbaya yudhi sadewa dah blunder bikin kesel orang. tidak tahu siapa yang rekomendasikan ni orang... tidak bapak tidak anak kemlinthi gayane. surem.,2.0
@KerjaanRau65055 @pandji Jokenya ada di pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang bilang tuntutan demo (17+8) cuma suara minoritas yang hidupnya kurang dan kalau pertumbuhan ekonomi 6-7% orang bakal sibuk kerja &amp; makan enak daripada demo. Ini dianggap terlalu sederhana/ga peka malah,Tue Sep 09 14:37:09 +0000 2025,jokenya nyata menteri uang purbaya yudhi sadewa bilang tuntut demo cuma suara minoritas hidup kurang kalau tumbuh ekonomi orang bakal sibuk kerja amp makan enak demo anggap terlalu sederhanaga peka malah,jokenya ada di pernyataan menteri keuangan purbaya yudhi sadewa yang bilang tuntutan demo (17+8) cuma suara minoritas yang hidupnya kurang dan kalau pertumbuhan ekonomi 6-7% orang bakal sibuk kerja &amp; makan enak daripada demo. ini dianggap terlalu sederhana/ga peka malah,1.0
Dalam acara serah terima jabatan di Gedung Kementerian Keuangan pada Selasa 9 September 2025 Purbaya menyampaikan permintaan maaf secara terbuka dan berjanji memperbaiki komunikasi publik. https://t.co/bFxJ21lZ77,Tue Sep 09 14:19:58 +0000 2025,acara serah terima jabat gedung menteri uang selasa september purbaya sampai minta maaf buka janji baik komunikasi publik,dalam acara serah terima jabatan di gedung kementerian keuangan pada selasa 9 september 2025 purbaya menyampaikan permintaan maaf secara terbuka dan berjanji memperbaiki komunikasi publik.,1.0
Menteri Keuangan Purbaya Yudhi Sadewa akhirnya angkat bicara soal sorotan publik terhadap pernyataannya mengenai 17 plus 8. #suaramerdeka #suaramerdekacom #suaramerdekanetwork #menkeu #purbayayudhisadewa #klarifikasi #salahbicara #komunikasipublik https://t.co/w7CCDDAw44,Tue Sep 09 14:19:57 +0000 2025,menteri uang purbaya yudhi sadewa akhir angkat bicara soal sorot publik nyata kena plus,menteri keuangan purbaya yudhi sadewa akhirnya angkat bicara soal sorotan publik terhadap pernyataannya mengenai 17 plus 8. #suaramerdeka #suaramerdekacom #suaramerdekanetwork #menkeu #purbayayudhisadewa #klarifikasi #salahbicara #komunikasipublik,2.0
Menkeu Baru Purbaya Yudhi Sadewa Blunder Bilang Tuntutan 17+8 Suara Sebagian Kecil Rakyat. Belum genap satu hari menjadi Menteri Keuangan Purbaya Yudhi Sadewa mendapat kritikan dari masyarakat atas pernyataannya soal Tuntutan 17+8 merupakan suara sebagian kecil rakyat. https://t.co/13vxPL6RIR,Tue Sep 09 14:14:23 +0000 2025,menkeu baru purbaya yudhi sadewa blunder bilang tuntut suara bagi kecil rakyat genap satu hari jadi menteri uang purbaya yudhi sadewa dapat kritik masyarakat atas nyata soal tuntut rupa suara bagi kecil rakyat,menkeu baru purbaya yudhi sadewa blunder bilang tuntutan 17+8 suara sebagian kecil rakyat. belum genap satu hari menjadi menteri keuangan purbaya yudhi sadewa mendapat kritikan dari masyarakat atas pernyataannya soal tuntutan 17+8 merupakan suara sebagian kecil rakyat.,2.0
